pos	motif	type	treated_fixed_count	treated_depth	control_fixed_count	control_depth
NR_003286.4_RNA18SN5_1	NNUNN	Psi	373	373	917	917
NR_003286.4_RNA18SN5_100	NNUNN	Psi	1961	1962	4786	4786
NR_003286.4_RNA18SN5_1002	NNUNN	Psi	1586	1590	3396	3396
NR_003286.4_RNA18SN5_1003	NNUNN	Psi	1589	1594	3424	3425
NR_003286.4_RNA18SN5_1004	NNUNN	Psi	271	1565	3079	3403
NR_003286.4_RNA18SN5_101	NNUNN	Psi	1989	1989	4845	4845
NR_003286.4_RNA18SN5_1013	NNUNN	Psi	1817	1822	3689	3689
NR_003286.4_RNA18SN5_1015	NNUNN	Psi	1766	1767	3672	3672
NR_003286.4_RNA18SN5_1016	NNUNN	Psi	1789	1790	3682	3682
NR_003286.4_RNA18SN5_1017	NNUNN	Psi	1790	1794	3648	3648
NR_003286.4_RNA18SN5_1018	NNUNN	Psi	1820	1821	3658	3658
NR_003286.4_RNA18SN5_1021	NNUNN	Psi	1910	1914	3662	3662
NR_003286.4_RNA18SN5_1022	NNUNN	Psi	1889	1892	3712	3712
NR_003286.4_RNA18SN5_1025	NNUNN	Psi	1948	1950	3829	3830
NR_003286.4_RNA18SN5_1038	NNUNN	Psi	1399	1417	3144	3146
NR_003286.4_RNA18SN5_1045	NNUNN	Psi	236	1106	2910	2911
NR_003286.4_RNA18SN5_1046	NNUNN	Psi	472	1334	3567	3567
NR_003286.4_RNA18SN5_105	NNUNN	Psi	273	1965	5087	5089
NR_003286.4_RNA18SN5_1056	NNUNN	Psi	322	2015	4126	4126
NR_003286.4_RNA18SN5_1061	NNUNN	Psi	2665	2678	4383	4387
NR_003286.4_RNA18SN5_1066	NNUNN	Psi	10383	10413	23236	23240
NR_003286.4_RNA18SN5_1069	NNUNN	Psi	11503	11507	28623	28625
NR_003286.4_RNA18SN5_1072	NNUNN	Psi	11782	11812	29679	29684
NR_003286.4_RNA18SN5_1073	NNUNN	Psi	11712	11868	29328	29646
NR_003286.4_RNA18SN5_1081	NNUNN	Psi	2644	11891	29692	29696
NR_003286.4_RNA18SN5_1088	NNUNN	Psi	10956	10961	22785	22787
NR_003286.4_RNA18SN5_109	NNUNN	Psi	447	1975	5135	5136
NR_003286.4_RNA18SN5_110	NNUNN	Psi	2064	2066	5076	5078
NR_003286.4_RNA18SN5_1101	NNUNN	Psi	1912	1924	2560	2560
NR_003286.4_RNA18SN5_1111	NNUNN	Psi	1895	1896	2250	2250
NR_003286.4_RNA18SN5_1112	NNUNN	Psi	1877	1884	2203	2203
NR_003286.4_RNA18SN5_1114	NNUNN	Psi	1917	1928	2156	2156
NR_003286.4_RNA18SN5_1115	NNUNN	Psi	1858	1933	2091	2091
NR_003286.4_RNA18SN5_112	NNUNN	Psi	2059	2059	5034	5035
NR_003286.4_RNA18SN5_1120	NNUNN	Psi	1613	1621	1689	1692
NR_003286.4_RNA18SN5_1136	NNUNN	Psi	1590	1695	2297	2299
NR_003286.4_RNA18SN5_1137	NNUNN	Psi	1669	1686	2283	2286
NR_003286.4_RNA18SN5_115	NNUNN	Psi	2123	2131	5013	5014
NR_003286.4_RNA18SN5_1152	NNUNN	Psi	2554	2574	4763	4767
NR_003286.4_RNA18SN5_1154	NNUNN	Psi	2511	2519	4834	4835
NR_003286.4_RNA18SN5_1155	NNUNN	Psi	2503	2511	4888	4889
NR_003286.4_RNA18SN5_1156	NNUNN	Psi	2436	2438	4878	4878
NR_003286.4_RNA18SN5_116	NNUNN	Psi	2107	2153	4929	4937
NR_003286.4_RNA18SN5_1160	NNUNN	Psi	2422	2432	4839	4841
NR_003286.4_RNA18SN5_1161	NNUNN	Psi	2402	2419	4785	4785
NR_003286.4_RNA18SN5_1172	NNUNN	Psi	1318	1323	2575	2575
NR_003286.4_RNA18SN5_1174	NNUNN	Psi	510	1085	2317	2319
NR_003286.4_RNA18SN5_1177	NNUNN	Psi	548	1043	2087	2090
NR_003286.4_RNA18SN5_1178	NNUNN	Psi	690	1044	1133	1979
NR_003286.4_RNA18SN5_1186	NNUNN	Psi	993	1002	1918	1919
NR_003286.4_RNA18SN5_119	NNUNN	Psi	356	2144	4915	4924
NR_003286.4_RNA18SN5_1192	NNUNN	Psi	1116	1126	2244	2244
NR_003286.4_RNA18SN5_1193	NNUNN	Psi	1048	1052	2153	2155
NR_003286.4_RNA18SN5_12	NNUNN	Psi	976	1003	2000	2001
NR_003286.4_RNA18SN5_120	NNUNN	Psi	2215	2221	4940	4941
NR_003286.4_RNA18SN5_1201	NNUNN	Psi	1407	1413	3040	3040
NR_003286.4_RNA18SN5_1202	NNUNN	Psi	1422	1426	3130	3130
NR_003286.4_RNA18SN5_121	NNUNN	Psi	2216	2219	4921	4925
NR_003286.4_RNA18SN5_1225	NNUNN	Psi	2957	2960	14106	14108
NR_003286.4_RNA18SN5_1232	NNUNN	Psi	922	2657	14104	14108
NR_003286.4_RNA18SN5_1238	NNUNN	Psi	446	1933	10021	10025
NR_003286.4_RNA18SN5_1239	NNUNN	Psi	1940	1940	9420	9421
NR_003286.4_RNA18SN5_124	NNUNN	Psi	2381	2391	4775	4777
NR_003286.4_RNA18SN5_1242	NNUNN	Psi	1801	1803	7744	7747
NR_003286.4_RNA18SN5_1243	NNUNN	Psi	1661	1662	7083	7084
NR_003286.4_RNA18SN5_1244	NNUNN	Psi	221	1096	5137	5140
NR_003286.4_RNA18SN5_1248	NNUNN	Psi	324	929	691	4043
NR_003286.4_RNA18SN5_1263	NNUNN	Psi	1414	1422	2515	2515
NR_003286.4_RNA18SN5_128	NNUNN	Psi	2302	2320	4496	4496
NR_003286.4_RNA18SN5_1288	NNUNN	Psi	1101	1105	2056	2056
NR_003286.4_RNA18SN5_1289	NNUNN	Psi	1121	1138	2102	2104
NR_003286.4_RNA18SN5_1296	NNUNN	Psi	1329	1333	2877	2878
NR_003286.4_RNA18SN5_1297	NNUNN	Psi	1372	1375	2978	2979
NR_003286.4_RNA18SN5_1300	NNUNN	Psi	1254	1258	2328	2328
NR_003286.4_RNA18SN5_1304	NNUNN	Psi	1590	1596	3492	3494
NR_003286.4_RNA18SN5_1306	NNUNN	Psi	1662	1668	3726	3731
NR_003286.4_RNA18SN5_1307	NNUNN	Psi	1690	1724	3782	3783
NR_003286.4_RNA18SN5_1308	NNUNN	Psi	1743	1746	3799	3799
NR_003286.4_RNA18SN5_1310	NNUNN	Psi	1913	1932	4143	4145
NR_003286.4_RNA18SN5_1314	NNUNN	Psi	2161	2174	4621	4621
NR_003286.4_RNA18SN5_1315	NNUNN	Psi	2208	2225	4814	4816
NR_003286.4_RNA18SN5_1319	NNUNN	Psi	3900	3910	10266	10268
NR_003286.4_RNA18SN5_132	NNUNN	Psi	1567	1593	2488	2489
NR_003286.4_RNA18SN5_1323	NNUNN	Psi	9903	9906	22764	22766
NR_003286.4_RNA18SN5_1326	NNUNN	Psi	10046	10057	23124	23124
NR_003286.4_RNA18SN5_1329	NNUNN	Psi	10213	10214	23285	23287
NR_003286.4_RNA18SN5_1333	NNUNN	Psi	10137	10141	23261	23261
NR_003286.4_RNA18SN5_1339	NNUNN	Psi	9981	9981	22873	22876
NR_003286.4_RNA18SN5_1340	NNUNN	Psi	9586	9594	21650	21652
NR_003286.4_RNA18SN5_1342	NNUNN	Psi	9410	9418	21040	21042
NR_003286.4_RNA18SN5_1343	NNUNN	Psi	4523	4525	12951	12958
NR_003286.4_RNA18SN5_1346	NNUNN	Psi	1921	1924	5767	5773
NR_003286.4_RNA18SN5_1347	NNUNN	Psi	289	1372	4121	4125
NR_003286.4_RNA18SN5_135	NNUNN	Psi	1572	1576	2331	2332
NR_003286.4_RNA18SN5_1350	NNUNN	Psi	1496	1497	3784	3786
NR_003286.4_RNA18SN5_1358	NNUNN	Psi	1342	1345	3563	3564
NR_003286.4_RNA18SN5_1359	NNUNN	Psi	1344	1353	3587	3587
NR_003286.4_RNA18SN5_1360	NNUNN	Psi	1357	1359	3562	3564
NR_003286.4_RNA18SN5_1362	NNUNN	Psi	1473	1487	3653	3653
NR_003286.4_RNA18SN5_1364	NNUNN	Psi	1448	1450	3523	3523
NR_003286.4_RNA18SN5_1367	NNUNN	Psi	341	1427	3431	3433
NR_003286.4_RNA18SN5_1368	NNUNN	Psi	1574	1575	3425	3425
NR_003286.4_RNA18SN5_137	NNUNN	Psi	1547	1559	2287	2287
NR_003286.4_RNA18SN5_1371	NNUNN	Psi	1642	1646	3474	3474
NR_003286.4_RNA18SN5_1372	NNUNN	Psi	1665	1677	3441	3442
NR_003286.4_RNA18SN5_1377	NNUNN	Psi	1704	1706	3281	3281
NR_003286.4_RNA18SN5_1390	NNUNN	Psi	1860	1871	2943	2990
NR_003286.4_RNA18SN5_1392	NNUNN	Psi	1854	1855	2980	2980
NR_003286.4_RNA18SN5_1397	NNUNN	Psi	1821	1828	2654	2655
NR_003286.4_RNA18SN5_140	NNUNN	Psi	1692	1694	2461	2462
NR_003286.4_RNA18SN5_1400	NNUNN	Psi	1966	1971	2871	2872
NR_003286.4_RNA18SN5_1404	NNUNN	Psi	2135	2143	3077	3078
NR_003286.4_RNA18SN5_1407	NNUNN	Psi	2287	2305	3099	3099
NR_003286.4_RNA18SN5_1408	NNUNN	Psi	2350	2359	3095	3095
NR_003286.4_RNA18SN5_1426	NNUNN	Psi	6980	6989	7895	7896
NR_003286.4_RNA18SN5_143	NNUNN	Psi	1600	1611	2417	2419
NR_003286.4_RNA18SN5_1432	NNUNN	Psi	6980	7035	7781	7787
NR_003286.4_RNA18SN5_144	NNUNN	Psi	1491	1495	2537	2539
NR_003286.4_RNA18SN5_1441	NNUNN	Psi	6674	6689	7453	7456
NR_003286.4_RNA18SN5_1442	NNUNN	Psi	6607	6625	7362	7367
NR_003286.4_RNA18SN5_1444	NNUNN	Psi	6482	6511	7254	7268
NR_003286.4_RNA18SN5_1445	NNUNN	Psi	1035	5759	7054	7057
NR_003286.4_RNA18SN5_1457	NNUNN	Psi	1596	1606	1573	1576
NR_003286.4_RNA18SN5_1462	NNUNN	Psi	1702	1703	1596	1596
NR_003286.4_RNA18SN5_1463	NNUNN	Psi	1701	1705	1575	1575
NR_003286.4_RNA18SN5_1477	NNUNN	Psi	1485	1493	1973	1974
NR_003286.4_RNA18SN5_1478	NNUNN	Psi	1502	1512	2021	2021
NR_003286.4_RNA18SN5_148	NNUNN	Psi	1603	1605	2685	2685
NR_003286.4_RNA18SN5_1485	NNUNN	Psi	2053	2056	2907	2907
NR_003286.4_RNA18SN5_1492	NNUNN	Psi	2573	2575	3457	3460
NR_003286.4_RNA18SN5_1494	NNUNN	Psi	2614	2626	3529	3529
NR_003286.4_RNA18SN5_1496	NNUNN	Psi	2714	2722	3664	3665
NR_003286.4_RNA18SN5_1499	NNUNN	Psi	2894	2909	3742	3744
NR_003286.4_RNA18SN5_15	NNUNN	Psi	1446	1449	2984	2984
NR_003286.4_RNA18SN5_1504	NNUNN	Psi	2910	2922	3951	3953
NR_003286.4_RNA18SN5_1505	NNUNN	Psi	2932	2937	3990	3993
NR_003286.4_RNA18SN5_1509	NNUNN	Psi	2948	2957	3940	3942
NR_003286.4_RNA18SN5_1511	NNUNN	Psi	2892	2928	3747	3750
NR_003286.4_RNA18SN5_1519	NNUNN	Psi	2190	2589	2589	3388
NR_003286.4_RNA18SN5_152	NNUNN	Psi	1386	1546	2454	2928
NR_003286.4_RNA18SN5_1530	NNUNN	Psi	1739	1749	2179	2180
NR_003286.4_RNA18SN5_1535	NNUNN	Psi	1643	1666	2018	2019
NR_003286.4_RNA18SN5_1539	NNUNN	Psi	1386	1401	1559	1559
NR_003286.4_RNA18SN5_154	NNUNN	Psi	1413	1415	2861	2861
NR_003286.4_RNA18SN5_1543	NNUNN	Psi	1471	1491	1591	1591
NR_003286.4_RNA18SN5_1549	NNUNN	Psi	1319	1328	1407	1408
NR_003286.4_RNA18SN5_1551	NNUNN	Psi	1390	1394	1407	1407
NR_003286.4_RNA18SN5_1555	NNUNN	Psi	1396	1399	1376	1376
NR_003286.4_RNA18SN5_1560	NNUNN	Psi	1350	1352	1361	1361
NR_003286.4_RNA18SN5_157	NNUNN	Psi	1412	1414	2832	2833
NR_003286.4_RNA18SN5_1578	NNUNN	Psi	2048	2054	2382	2382
NR_003286.4_RNA18SN5_1585	NNUNN	Psi	4951	4962	8012	8012
NR_003286.4_RNA18SN5_1586	NNUNN	Psi	5276	5299	8203	8205
NR_003286.4_RNA18SN5_1595	NNUNN	Psi	7422	7432	9677	9679
NR_003286.4_RNA18SN5_1596	NNUNN	Psi	7545	7568	9848	9851
NR_003286.4_RNA18SN5_1599	NNUNN	Psi	7698	7741	9963	9964
NR_003286.4_RNA18SN5_160	NNUNN	Psi	1518	1519	2920	2920
NR_003286.4_RNA18SN5_1602	NNUNN	Psi	7607	7617	10036	10036
NR_003286.4_RNA18SN5_1608	NNUNN	Psi	8512	8555	10492	10496
NR_003286.4_RNA18SN5_161	NNUNN	Psi	1571	1575	2923	2924
NR_003286.4_RNA18SN5_1615	NNUNN	Psi	8441	8494	10437	10440
NR_003286.4_RNA18SN5_1616	NNUNN	Psi	8356	8394	10394	10395
NR_003286.4_RNA18SN5_1621	NNUNN	Psi	7578	7591	9703	9704
NR_003286.4_RNA18SN5_1622	NNUNN	Psi	7405	7426	9481	9483
NR_003286.4_RNA18SN5_1624	NNUNN	Psi	6961	7009	9183	9186
NR_003286.4_RNA18SN5_1625	NNUNN	Psi	1508	6970	9123	9128
NR_003286.4_RNA18SN5_163	NNUNN	Psi	1612	1622	3010	3010
NR_003286.4_RNA18SN5_1631	NNUNN	Psi	6559	6584	8261	8264
NR_003286.4_RNA18SN5_1642	NNUNN	Psi	664	667	1697	1700
NR_003286.4_RNA18SN5_1643	NNUNN	Psi	103	662	1576	1578
NR_003286.4_RNA18SN5_1649	NNUNN	Psi	879	882	1785	1786
NR_003286.4_RNA18SN5_1653	NNUNN	Psi	835	886	1588	1768
NR_003286.4_RNA18SN5_1659	NNUNN	Psi	1014	1015	1745	1745
NR_003286.4_RNA18SN5_1662	NNUNN	Psi	1064	1065	1775	1775
NR_003286.4_RNA18SN5_1667	NNUNN	Psi	1368	1386	2275	2275
NR_003286.4_RNA18SN5_1668	NNUNN	Psi	1638	1649	2867	2876
NR_003286.4_RNA18SN5_1672	NNUNN	Psi	2153	2154	3558	3558
NR_003286.4_RNA18SN5_1673	NNUNN	Psi	2624	2629	4832	4833
NR_003286.4_RNA18SN5_1676	NNUNN	Psi	3300	3309	5753	5755
NR_003286.4_RNA18SN5_1677	NNUNN	Psi	3284	3436	5922	5924
NR_003286.4_RNA18SN5_1681	NNUNN	Psi	4182	4354	7341	7345
NR_003286.4_RNA18SN5_1685	NNUNN	Psi	7337	7366	13509	13511
NR_003286.4_RNA18SN5_169	NNUNN	Psi	1589	1592	2891	2891
NR_003286.4_RNA18SN5_1690	NNUNN	Psi	7507	7543	14060	14074
NR_003286.4_RNA18SN5_1691	NNUNN	Psi	7483	7490	14111	14112
NR_003286.4_RNA18SN5_1692	NNUNN	Psi	1489	7476	14128	14150
NR_003286.4_RNA18SN5_1694	NNUNN	Psi	7942	7963	14213	14216
NR_003286.4_RNA18SN5_1707	NNUNN	Psi	6726	6765	10379	10382
NR_003286.4_RNA18SN5_1711	NNUNN	Psi	3113	3122	4290	4291
NR_003286.4_RNA18SN5_1714	NNUNN	Psi	2634	2647	3763	3765
NR_003286.4_RNA18SN5_172	NNUNN	Psi	2431	2439	3767	3773
NR_003286.4_RNA18SN5_1720	NNUNN	Psi	1943	1957	3050	3050
NR_003286.4_RNA18SN5_1721	NNUNN	Psi	1889	1898	3004	3004
NR_003286.4_RNA18SN5_1725	NNUNN	Psi	1741	1743	2802	2803
NR_003286.4_RNA18SN5_1728	NNUNN	Psi	1470	1704	2083	2682
NR_003286.4_RNA18SN5_1729	NNUNN	Psi	1730	1738	2726	2726
NR_003286.4_RNA18SN5_1730	NNUNN	Psi	1553	1777	2147	2731
NR_003286.4_RNA18SN5_1733	NNUNN	Psi	2262	2269	3083	3084
NR_003286.4_RNA18SN5_1741	NNUNN	Psi	3261	3284	3395	3397
NR_003286.4_RNA18SN5_1746	NNUNN	Psi	6389	6484	5104	5253
NR_003286.4_RNA18SN5_176	NNUNN	Psi	2594	2603	3838	3838
NR_003286.4_RNA18SN5_1761	NNUNN	Psi	17603	17614	17130	17132
NR_003286.4_RNA18SN5_1775	NNUNN	Psi	16739	16775	16595	16598
NR_003286.4_RNA18SN5_1786	NNUNN	Psi	2237	2259	1872	1874
NR_003286.4_RNA18SN5_1797	NNUNN	Psi	1476	1478	1889	1889
NR_003286.4_RNA18SN5_1803	NNUNN	Psi	1298	1311	1944	1944
NR_003286.4_RNA18SN5_1804	NNUNN	Psi	1226	1242	1843	1897
NR_003286.4_RNA18SN5_1808	NNUNN	Psi	1159	1203	1698	1874
NR_003286.4_RNA18SN5_1810	NNUNN	Psi	1145	1148	2000	2000
NR_003286.4_RNA18SN5_1812	NNUNN	Psi	1153	1163	2175	2176
NR_003286.4_RNA18SN5_1821	NNUNN	Psi	845	845	1952	1956
NR_003286.4_RNA18SN5_1827	NNUNN	Psi	590	592	1805	1805
NR_003286.4_RNA18SN5_1830	NNUNN	Psi	568	571	1744	1744
NR_003286.4_RNA18SN5_1838	NNUNN	Psi	579	579	2002	2002
NR_003286.4_RNA18SN5_1839	NNUNN	Psi	362	557	1106	1901
NR_003286.4_RNA18SN5_1840	NNUNN	Psi	576	577	1937	1937
NR_003286.4_RNA18SN5_1844	NNUNN	Psi	638	639	1938	1939
NR_003286.4_RNA18SN5_1848	NNUNN	Psi	603	604	1765	1765
NR_003286.4_RNA18SN5_1854	NNUNN	Psi	530	536	1451	1451
NR_003286.4_RNA18SN5_1864	NNUNN	Psi	465	468	1209	1209
NR_003286.4_RNA18SN5_1867	NNUNN	Psi	445	445	1105	1105
NR_003286.4_RNA18SN5_1868	NNUNN	Psi	427	427	1094	1094
NR_003286.4_RNA18SN5_189	NNUNN	Psi	5873	5953	8000	8002
NR_003286.4_RNA18SN5_197	NNUNN	Psi	5913	5934	8089	8091
NR_003286.4_RNA18SN5_198	NNUNN	Psi	5891	5909	8075	8076
NR_003286.4_RNA18SN5_21	NNUNN	Psi	2019	2037	3937	3937
NR_003286.4_RNA18SN5_210	NNUNN	Psi	848	2237	5203	5204
NR_003286.4_RNA18SN5_214	NNUNN	Psi	1461	1464	1821	1827
NR_003286.4_RNA18SN5_218	NNUNN	Psi	243	1332	2216	2216
NR_003286.4_RNA18SN5_219	NNUNN	Psi	1495	1496	2238	2238
NR_003286.4_RNA18SN5_220	NNUNN	Psi	1599	1600	2243	2243
NR_003286.4_RNA18SN5_222	NNUNN	Psi	1788	1800	2369	2369
NR_003286.4_RNA18SN5_227	NNUNN	Psi	2363	2366	2853	2853
NR_003286.4_RNA18SN5_242	NNUNN	Psi	3555	3575	3097	3099
NR_003286.4_RNA18SN5_250	NNUNN	Psi	5770	5835	7252	7258
NR_003286.4_RNA18SN5_252	NNUNN	Psi	6068	6096	7632	7641
NR_003286.4_RNA18SN5_26	NNUNN	Psi	2524	2532	4540	4541
NR_003286.4_RNA18SN5_28	NNUNN	Psi	2736	2739	4791	4794
NR_003286.4_RNA18SN5_285	NNUNN	Psi	3310	3333	3171	3174
NR_003286.4_RNA18SN5_286	NNUNN	Psi	3217	3220	3077	3077
NR_003286.4_RNA18SN5_287	NNUNN	Psi	3109	3114	3046	3046
NR_003286.4_RNA18SN5_290	NNUNN	Psi	3165	3170	2960	2962
NR_003286.4_RNA18SN5_294	NNUNN	Psi	3030	3049	2879	2881
NR_003286.4_RNA18SN5_296	NNUNN	Psi	1136	1833	2040	2040
NR_003286.4_RNA18SN5_300	NNUNN	Psi	2199	2203	2066	2067
NR_003286.4_RNA18SN5_305	NNUNN	Psi	14682	14966	16267	16271
NR_003286.4_RNA18SN5_31	NNUNN	Psi	2839	2938	5066	5067
NR_003286.4_RNA18SN5_314	NNUNN	Psi	20723	20863	20967	20969
NR_003286.4_RNA18SN5_32	NNUNN	Psi	2901	2910	5117	5119
NR_003286.4_RNA18SN5_328	NNUNN	Psi	20577	20636	20972	20972
NR_003286.4_RNA18SN5_34	NNUNN	Psi	1183	3005	5236	5241
NR_003286.4_RNA18SN5_344	NNUNN	Psi	4153	4174	4016	4017
NR_003286.4_RNA18SN5_345	NNUNN	Psi	4286	4302	4113	4113
NR_003286.4_RNA18SN5_352	NNUNN	Psi	4698	4727	4493	4495
NR_003286.4_RNA18SN5_354	NNUNN	Psi	4613	4644	4510	4511
NR_003286.4_RNA18SN5_359	NNUNN	Psi	4718	4747	4589	4591
NR_003286.4_RNA18SN5_36	NNUNN	Psi	939	3055	4472	5265
NR_003286.4_RNA18SN5_361	NNUNN	Psi	4763	4782	4656	4656
NR_003286.4_RNA18SN5_366	NNUNN	Psi	4628	4638	4826	4827
NR_003286.4_RNA18SN5_367	NNUNN	Psi	4559	4565	4771	4772
NR_003286.4_RNA18SN5_368	NNUNN	Psi	4528	4558	4754	4754
NR_003286.4_RNA18SN5_372	NNUNN	Psi	4412	4426	4536	4536
NR_003286.4_RNA18SN5_375	NNUNN	Psi	4325	4332	4239	4242
NR_003286.4_RNA18SN5_378	NNUNN	Psi	4135	4157	3944	3945
NR_003286.4_RNA18SN5_384	NNUNN	Psi	3396	3411	3092	3093
NR_003286.4_RNA18SN5_388	NNUNN	Psi	3293	3307	3172	3173
NR_003286.4_RNA18SN5_393	NNUNN	Psi	2945	2955	3013	3014
NR_003286.4_RNA18SN5_396	NNUNN	Psi	2775	2780	2877	2877
NR_003286.4_RNA18SN5_406	NNUNN	Psi	477	2157	2969	2969
NR_003286.4_RNA18SN5_416	NNUNN	Psi	1298	1580	2620	2620
NR_003286.4_RNA18SN5_422	NNUNN	Psi	1858	1864	3278	3278
NR_003286.4_RNA18SN5_423	NNUNN	Psi	1903	1917	3341	3341
NR_003286.4_RNA18SN5_427	NNUNN	Psi	1842	2108	2937	3465
NR_003286.4_RNA18SN5_428	NNUNN	Psi	2149	2169	3539	3540
NR_003286.4_RNA18SN5_43	NNUNN	Psi	3467	3482	5242	5245
NR_003286.4_RNA18SN5_44	NNUNN	Psi	3418	3427	5256	5256
NR_003286.4_RNA18SN5_443	NNUNN	Psi	2426	2436	3134	3138
NR_003286.4_RNA18SN5_454	NNUNN	Psi	2776	2784	3174	3176
NR_003286.4_RNA18SN5_461	NNUNN	Psi	3031	3047	3491	3493
NR_003286.4_RNA18SN5_487	NNUNN	Psi	2461	2464	3136	3137
NR_003286.4_RNA18SN5_488	NNUNN	Psi	2451	2465	3103	3104
NR_003286.4_RNA18SN5_495	NNUNN	Psi	2062	2089	2866	2867
NR_003286.4_RNA18SN5_5	NNUNN	Psi	519	519	1453	1454
NR_003286.4_RNA18SN5_51	NNUNN	Psi	3339	3352	4981	4983
NR_003286.4_RNA18SN5_511	NNUNN	Psi	1494	1547	2939	2940
NR_003286.4_RNA18SN5_514	NNUNN	Psi	1480	1571	2907	2907
NR_003286.4_RNA18SN5_524	NNUNN	Psi	1712	1719	3251	3251
NR_003286.4_RNA18SN5_530	NNUNN	Psi	2728	2740	4563	4563
NR_003286.4_RNA18SN5_538	NNUNN	Psi	4440	4494	6512	6514
NR_003286.4_RNA18SN5_540	NNUNN	Psi	4588	4597	6941	6946
NR_003286.4_RNA18SN5_541	NNUNN	Psi	4694	4726	7059	7060
NR_003286.4_RNA18SN5_542	NNUNN	Psi	4719	4727	7056	7058
NR_003286.4_RNA18SN5_55	NNUNN	Psi	3209	3216	4776	4777
NR_003286.4_RNA18SN5_551	NNUNN	Psi	4874	4912	7050	7052
NR_003286.4_RNA18SN5_553	NNUNN	Psi	4910	4910	7114	7115
NR_003286.4_RNA18SN5_556	NNUNN	Psi	5068	5091	7264	7264
NR_003286.4_RNA18SN5_557	NNUNN	Psi	4913	4923	7256	7257
NR_003286.4_RNA18SN5_562	NNUNN	Psi	4821	4830	6975	6979
NR_003286.4_RNA18SN5_566	NNUNN	Psi	1791	1883	3364	3367
NR_003286.4_RNA18SN5_57	NNUNN	Psi	3214	3246	4786	4789
NR_003286.4_RNA18SN5_571	NNUNN	Psi	1891	1892	3468	3468
NR_003286.4_RNA18SN5_572	NNUNN	Psi	333	1831	3474	3476
NR_003286.4_RNA18SN5_573	NNUNN	Psi	1896	1896	3500	3500
NR_003286.4_RNA18SN5_577	NNUNN	Psi	2098	2112	3722	3722
NR_003286.4_RNA18SN5_580	NNUNN	Psi	1968	2122	3291	3851
NR_003286.4_RNA18SN5_581	NNUNN	Psi	2134	2142	3910	3911
NR_003286.4_RNA18SN5_582	NNUNN	Psi	2138	2140	3972	3973
